no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
2,1,2,1,0,0,0,26,2017,10,17,4,0,0,0,161.0,0,1
2,1,1,1,0,0,0,98,2018,7,16,4,0,0,0,121.5,2,1
2,0,0,3,0,0,0,433,2018,9,8,3,0,0,0,70.0,0,0
2,0,2,5,0,0,0,195,2018,8,8,3,0,0,0,72.25,0,1
1,0,0,2,0,0,0,188,2018,6,15,3,0,0,0,130.0,0,0
2,1,0,3,0,0,0,74,2018,4,6,4,0,0,0,112.5,1,0
2,0,1,2,0,0,0,273,2018,5,13,3,0,0,0,95.0,0,0
2,0,1,3,3,0,0,6,2018,12,15,4,0,0,0,66.3,0,1
2,0,2,5,0,0,0,89,2018,3,21,4,0,0,0,83.66,1,1
2,2,2,0,0,0,5,56,2018,3,20,4,0,0,0,180.0,1,0
2,0,1,5,0,1,0,103,2018,7,12,4,0,0,0,114.3,1,1
1,0,4,11,0,0,0,155,2018,8,30,4,0,0,0,117.42,0,0
2,0,0,1,0,0,4,3,2018,6,11,4,0,0,0,128.8,0,1
1,0,1,2,0,0,0,180,2018,10,10,3,0,0,0,120.0,0,0
2,0,0,4,0,0,0,92,2018,7,12,4,0,0,0,89.85,2,1
2,0,0,2,1,0,0,56,2017,9,17,3,0,0,0,82.0,0,1
2,0,0,3,0,0,0,279,2018,10,12,4,0,0,0,110.0,0,0
2,0,0,2,0,0,0,134,2018,8,10,4,0,0,0,114.3,1,1
2,0,0,2,3,0,0,8,2018,3,25,4,0,0,0,139.0,1,1
3,0,2,2,0,0,3,10,2018,4,29,4,0,0,0,172.0,2,1
2,0,2,0,0,0,0,2,2018,8,21,4,0,0,0,148.0,1,1
2,0,1,2,3,0,0,52,2018,2,26,4,0,0,0,79.5,1,0
1,0,2,1,0,0,0,116,2018,2,28,3,0,0,0,61.0,0,0
2,2,0,2,0,0,5,89,2018,7,21,4,0,0,0,186.3,0,0
2,0,1,2,0,0,0,193,2018,6,20,4,0,0,0,120.0,0,0
2,0,0,1,0,0,0,92,2018,11,11,3,0,0,0,90.0,0,1
2,1,2,3,0,0,0,95,2018,7,1,4,0,0,0,130.5,1,1
2,1,1,3,0,0,0,6,2018,2,4,4,0,0,0,109.0,1,0
2,0,1,2,0,0,3,60,2018,4,1,4,0,0,0,106.2,1,1
2,0,2,2,0,0,0,359,2018,9,16,4,0,0,0,105.0,1,0
2,0,0,4,0,0,0,67,2018,11,23,4,0,0,0,88.4,2,0
2,1,1,4,0,0,0,177,2018,8,3,4,0,0,0,123.75,0,0
2,0,1,5,3,0,0,101,2018,4,12,4,0,0,0,54.06,0,1
1,0,0,1,0,0,0,15,2018,2,19,2,0,0,0,80.0,0,1
1,0,0,1,0,0,0,30,2018,8,31,4,0,0,0,94.2,0,1
2,0,2,2,0,0,0,89,2018,5,8,4,0,0,0,128.85,0,1
2,0,0,4,0,0,0,21,2017,9,29,4,0,0,0,133.5,0,0
2,0,2,4,0,0,0,6,2017,8,5,3,0,0,0,70.0,0,1
2,0,1,3,0,0,0,135,2018,6,16,4,0,0,0,119.85,2,1
1,0,0,1,0,0,0,1,2018,3,2,4,0,0,0,0.0,0,1
2,0,1,3,0,0,0,37,2017,9,21,4,0,0,0,145.8,2,1
2,0,2,5,0,0,0,45,2018,11,7,3,0,0,0,75.0,1,1
2,0,2,3,0,0,0,168,2018,8,12,3,0,0,0,72.25,2,1
2,0,2,3,0,0,0,143,2018,6,2,4,0,0,0,100.3,0,0
1,0,0,1,0,0,0,25,2018,11,29,4,0,0,0,75.2,0,1
2,0,0,2,1,0,0,102,2017,10,16,4,0,0,0,101.5,0,0
2,1,2,2,0,0,0,4,2017,12,5,3,0,0,0,81.6,2,1
2,0,1,3,3,0,0,108,2018,10,17,4,0,0,0,108.0,2,1
1,0,0,1,0,0,0,8,2018,7,28,2,1,1,17,65.0,1,1
2,0,2,2,0,0,0,56,2017,9,25,3,0,0,0,185.0,0,1
2,2,0,1,0,0,5,12,2018,8,19,4,0,0,0,220.0,0,0
1,0,1,0,0,0,0,0,2017,8,23,4,0,0,0,80.0,0,1
2,0,2,1,0,0,0,37,2018,10,30,3,0,0,0,75.0,1,1
3,0,1,1,0,0,3,0,2018,5,9,4,0,0,0,158.0,0,1
1,0,0,2,1,0,0,39,2017,8,14,3,0,0,0,87.0,0,1
2,0,0,1,0,1,5,36,2018,4,8,4,0,0,0,103.95,0,1
2,1,0,5,0,0,4,63,2018,7,26,3,0,0,0,131.75,2,1
0,2,2,2,0,0,1,87,2018,5,29,4,0,0,0,112.01,1,1
2,0,1,2,0,0,0,58,2017,11,13,4,0,0,0,79.2,1,1
2,0,0,2,0,0,0,301,2018,11,18,3,0,0,0,52.0,0,0
2,0,0,2,1,0,0,346,2018,9,13,4,0,0,0,115.0,1,0
1,0,0,1,0,0,0,361,2018,11,4,4,1,1,0,91.0,0,0
1,0,1,0,0,1,0,3,2018,6,6,2,1,0,3,65.0,0,1
2,0,0,4,0,0,0,49,2017,12,30,3,0,0,0,71.0,0,1
1,0,0,1,0,0,0,19,2018,5,7,4,0,0,0,135.0,0,1
2,0,0,2,1,0,0,74,2017,9,18,3,0,0,0,101.5,0,1
2,0,0,3,3,0,0,34,2018,6,14,4,0,0,0,107.1,1,1
2,0,1,4,0,0,0,73,2018,3,16,4,0,0,0,79.05,1,0
1,0,0,1,0,0,0,0,2018,11,25,2,0,0,0,67.0,0,1
2,0,0,2,0,0,0,94,2018,4,12,4,0,0,0,96.3,1,1
2,0,1,4,0,0,0,134,2018,5,9,4,0,0,0,76.58,1,1
1,0,1,0,0,0,0,1,2018,1,18,4,0,0,0,80.0,0,1
2,0,0,1,0,0,3,75,2018,7,30,4,0,0,0,127.8,1,1
2,0,0,4,1,0,0,100,2018,9,28,3,0,0,0,140.0,1,1
2,0,1,1,3,0,0,91,2018,6,18,4,0,0,0,116.1,0,0
2,0,0,3,0,0,0,22,2018,10,11,3,0,0,0,95.0,0,1
2,0,1,1,0,0,5,13,2017,8,24,4,0,0,0,153.0,0,1
1,0,0,2,0,0,0,32,2017,11,20,3,0,0,0,73.0,0,1
2,0,0,3,0,0,0,63,2018,6,9,4,0,0,0,126.9,1,0
3,0,1,3,0,0,0,26,2018,9,5,4,0,0,0,127.2,0,0
2,0,0,4,1,0,0,296,2018,9,21,4,0,0,0,117.0,1,0
1,0,0,1,0,0,0,8,2018,4,5,4,0,0,0,95.0,0,0
2,0,2,1,0,0,0,7,2018,8,13,4,0,0,0,130.67,0,0
2,0,0,2,0,0,0,263,2018,10,21,3,0,0,0,110.0,0,0
2,0,0,5,0,0,0,140,2017,12,29,3,0,0,0,70.0,0,1
2,0,2,1,1,0,0,131,2017,8,15,3,0,0,0,94.5,0,1
3,0,0,3,0,0,0,6,2018,3,3,4,0,0,0,137.0,0,0
2,0,0,2,0,1,0,219,2018,9,13,4,0,0,0,145.1,1,0
1,0,1,1,3,0,0,19,2018,7,18,3,0,0,0,75.0,0,1
3,0,0,2,0,0,0,16,2017,10,1,4,0,0,0,142.0,4,1
1,0,0,2,0,0,0,57,2018,9,16,3,0,0,0,75.0,0,1
2,0,1,2,0,0,0,7,2017,9,14,4,0,0,0,152.0,1,1
1,0,0,1,0,1,0,18,2018,10,18,2,1,0,10,65.0,1,1
2,0,2,5,0,0,0,31,2018,11,14,4,0,0,0,64.67,1,1
2,0,2,1,0,0,0,6,2018,8,28,3,0,0,0,85.0,0,1
2,0,1,4,0,0,0,148,2017,12,30,3,0,0,0,67.0,0,1
2,0,0,3,3,0,0,63,2018,11,10,4,0,0,0,118.33,3,1
2,0,0,3,0,0,1,178,2018,8,23,4,0,0,0,94.62,0,0
1,0,0,4,0,0,0,151,2018,1,19,3,0,0,0,71.0,0,1
2,0,1,3,0,0,0,93,2017,12,3,4,0,0,0,72.25,2,1
1,0,0,2,0,0,0,102,2018,12,6,4,0,0,0,86.4,2,0
2,0,2,3,0,0,0,167,2018,8,4,3,0,0,0,72.25,1,1
2,0,2,1,0,0,0,57,2018,10,30,4,0,0,0,103.8,1,1
2,0,0,2,0,0,1,181,2017,8,6,4,0,0,0,76.5,2,0
2,0,2,5,0,0,0,245,2018,9,22,4,0,0,0,107.59,0,0
2,0,0,2,0,0,0,49,2018,6,3,3,0,0,0,80.75,0,1
1,0,0,3,0,0,0,71,2018,6,14,3,0,0,0,120.0,0,1
2,0,0,3,0,0,0,44,2018,2,17,3,0,0,0,75.0,0,1
2,0,2,3,3,0,0,2,2018,6,26,3,0,0,0,63.75,0,1
2,1,2,5,0,0,0,147,2018,6,28,4,0,0,0,106.25,2,1
2,0,0,1,0,0,3,0,2018,5,19,4,0,0,0,223.0,0,0
2,0,0,2,3,0,0,44,2018,2,12,4,0,0,0,67.5,0,0
2,0,2,2,0,0,0,116,2018,3,25,4,0,0,0,59.5,0,0
2,0,2,1,0,0,3,11,2018,5,8,4,0,0,0,126.0,1,1
2,0,0,1,0,0,0,129,2018,8,6,4,0,0,0,114.3,1,1
2,0,2,5,0,0,1,13,2017,8,27,4,0,0,0,85.29,1,0
2,0,2,2,0,0,0,186,2018,9,2,3,0,0,0,80.75,0,1
2,0,2,1,0,0,0,20,2018,2,7,4,0,0,0,93.0,2,1
1,0,1,3,0,1,0,12,2018,2,15,4,0,0,0,95.0,0,1
2,0,1,1,0,0,0,10,2017,12,5,4,0,0,0,80.75,0,1
2,0,1,2,3,0,0,102,2018,11,7,3,0,0,0,59.5,0,0
1,0,1,0,0,0,3,7,2018,8,8,2,0,0,0,94.0,0,1
2,0,2,1,0,0,0,26,2017,9,12,4,0,0,0,124.0,3,1
2,0,2,2,0,0,3,106,2018,4,17,4,0,0,0,90.95,1,1
2,0,0,2,1,0,0,320,2018,8,18,3,0,0,0,115.0,1,0
1,0,3,7,0,0,0,0,2017,11,30,4,1,0,1,69.0,1,1
2,0,0,2,3,0,0,13,2018,3,8,4,0,0,0,81.0,0,1
2,0,0,3,0,0,0,15,2018,4,27,4,0,0,0,103.44,0,0
2,0,0,4,0,0,0,270,2018,4,20,3,0,0,0,80.0,0,1
2,0,1,2,0,0,0,102,2017,10,16,4,0,0,0,89.25,0,1
1,0,0,2,1,0,0,102,2017,10,16,3,0,0,0,87.0,0,1
1,0,0,1,0,0,0,1,2017,9,30,2,0,0,0,65.0,0,1
2,0,0,3,0,0,0,78,2018,9,29,3,0,0,0,95.0,1,1
2,0,0,2,0,0,0,112,2018,6,2,3,0,0,0,100.0,0,1
2,0,0,2,1,0,0,273,2017,7,17,3,0,0,0,109.0,0,0
1,0,1,2,0,0,0,25,2018,10,17,4,0,0,0,129.0,2,1
2,0,2,2,3,0,0,72,2018,10,30,4,0,0,0,79.65,0,0
2,0,2,3,0,0,0,93,2017,8,15,4,0,0,0,76.5,2,0
2,0,0,1,0,0,0,91,2018,7,6,4,0,0,0,114.3,0,1
2,0,2,0,3,0,0,24,2018,9,11,4,0,0,0,71.69,1,1
1,0,2,0,0,0,0,5,2018,2,28,2,1,0,2,66.0,0,1
1,0,0,1,3,0,0,6,2018,12,1,4,0,0,0,88.0,0,1
2,0,0,2,0,0,0,57,2018,8,10,4,0,0,0,135.9,1,1
1,0,0,2,1,0,0,14,2017,9,17,4,0,0,0,0.0,0,1
1,0,0,1,0,0,0,12,2018,12,14,4,0,0,0,75.2,0,1
1,0,1,0,3,0,0,5,2017,11,15,4,0,0,0,73.15,0,1
1,0,0,1,0,0,0,99,2018,2,19,2,0,0,0,81.0,0,1
2,0,2,5,0,0,0,97,2018,4,30,4,0,0,0,109.81,1,1
2,0,1,5,0,0,0,56,2018,3,28,4,0,0,0,85.85,1,0
2,0,1,1,0,0,3,60,2018,9,3,4,0,0,0,123.3,1,0
1,0,2,1,3,0,0,8,2018,10,29,4,0,0,0,85.35,1,1
3,0,0,3,0,0,3,198,2018,9,22,4,0,0,0,159.3,1,0
2,0,4,6,1,0,0,163,2018,8,21,3,0,0,0,72.25,1,1
1,0,1,2,0,0,0,19,2018,9,23,4,0,0,0,117.81,1,1
2,0,1,2,0,0,0,20,2018,11,14,3,0,0,0,80.0,0,1
1,0,1,1,0,0,0,3,2017,9,7,3,0,0,0,98.8,0,1
2,0,2,1,0,0,3,1,2018,2,7,3,0,0,0,51.5,0,1
2,0,2,0,0,0,3,30,2018,1,31,4,0,0,0,79.6,1,1
1,0,1,1,0,0,0,118,2018,6,6,3,0,0,0,110.0,0,1
2,0,2,0,1,0,0,386,2018,10,23,4,0,0,0,115.0,1,0
2,0,2,2,3,0,0,186,2018,9,30,4,0,0,0,102.6,2,0
2,0,0,3,0,0,0,304,2018,11,3,4,0,0,0,89.0,0,0
1,0,0,1,0,0,3,2,2018,3,2,3,0,0,0,55.0,0,1
1,0,1,2,0,0,3,12,2017,10,5,3,0,0,0,75.0,0,1
2,2,1,0,0,0,5,9,2018,8,1,4,0,0,0,201.0,3,1
3,0,0,5,1,0,3,183,2018,8,16,4,0,0,0,187.5,0,0
2,0,0,3,0,0,0,79,2017,7,7,1,0,0,0,37.33,1,1
2,0,2,3,0,0,0,256,2018,10,16,4,0,0,0,100.75,0,0
2,0,0,2,0,0,0,97,2018,4,8,4,0,0,0,96.3,1,1
2,0,0,4,0,0,0,175,2018,8,31,4,0,0,0,112.63,0,0
1,0,0,1,3,0,0,69,2018,10,28,4,0,0,0,57.52,1,1
2,0,0,1,0,0,0,10,2018,9,1,3,0,0,0,95.0,1,1
2,0,2,3,0,0,0,0,2017,12,24,3,0,0,0,62.8,0,1
